,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
356,Zholymbet,51.7433,71.7122,12.22,51,97,2.77,KZ,1663072464
357,Petropavlovsk-Kamchatskiy,53.0452,158.6483,10.33,100,75,1.0,RU,1663072298
358,Westport,41.1415,-73.3579,23.38,96,20,5.14,US,1663072467
359,Bacungan,9.9106,118.7022,29.03,74,20,1.03,PH,1663072468
360,São José da Coroa Grande,-8.8978,-35.1478,26.38,70,7,4.29,BR,1663072469
361,Port Shepstone,-30.7414,30.455,19.23,62,15,3.73,ZA,1663072471
362,Dawson Creek,55.7666,-120.2362,4.8,87,0,1.54,CA,1663072472
363,Rosarito,32.3333,-117.0333,23.01,90,66,2.41,MX,1663072473
364,Trebinje,42.7119,18.3442,25.42,31,0,5.14,BA,1663072210
365,Solnechnyy,50.7214,136.6319,4.21,88,0,1.86,RU,1663072475
366,Alekseyevsk,57.8406,108.3492,5.27,98,100,4.29,RU,1663072477
367,Karratha,-20.7377,116.8463,22.76,71,7,6.98,AU,1663072478
368,Bada,51.392,109.8717,10.05,55,100,1.45,RU,1663072480
369,Ciudad Bolivar,8.1222,-63.5497,27.55,73,9,2.54,VE,1663072397
370,Fort Walton Beach,30.4058,-86.6188,22.77,87,0,3.6,US,1663072482
371,Vătava,46.9667,24.7667,13.78,67,90,3.53,RO,1663072483
372,Mae Sai,20.4335,99.8762,21.68,99,61,0.72,TH,1663072485
373,Ozernovskiy,51.5,156.5167,13.8,78,100,3.79,RU,1663072486
374,Krasnaya Gora,52.9995,31.6023,11.07,79,100,4.01,RU,1663072488
375,Garden City,42.3256,-83.331,15.14,85,75,1.54,US,1663072203
376,Hurghada,27.2574,33.8129,36.02,20,0,8.75,EG,1663072490
377,Port Lincoln,-34.7333,135.8667,15.87,57,82,6.56,AU,1663072492
378,Muzhi,65.3667,64.6667,8.79,83,100,1.75,RU,1663072493
379,Akhisar,38.9185,27.8401,29.84,23,20,6.17,TR,1663072495
380,Makakilo City,21.3469,-158.0858,25.18,75,0,4.12,US,1663072496
381,Yima,34.7381,111.8839,21.5,50,1,3.02,CN,1663072498
382,Russkiy Kameshkir,52.8589,46.0892,12.87,59,100,6.5,RU,1663072499
383,Vao,-22.6667,167.4833,21.51,79,100,7.51,NC,1663072500
384,Ust-Nera,64.5667,143.2,1.75,57,15,1.97,RU,1663072330
385,Karīmpur,23.9667,88.6167,24.16,93,100,6.35,IN,1663072503
386,Sokol,59.4617,40.1206,15.61,40,18,2.89,RU,1663072504
387,Lavrentiya,65.5833,-171.0,7.53,92,100,2.46,RU,1663072506
388,Eyl,7.9803,49.8164,29.2,65,94,12.5,SO,1663072508
389,San Miguel de Tucumán,-26.8241,-65.2226,13.0,41,0,2.57,AR,1663072509
390,Havre-St-Pierre,50.2334,-63.5986,16.2,88,0,2.57,CA,1663072510
391,Prince Rupert,54.3161,-130.3201,10.83,97,75,1.54,CA,1663072450
392,Itarema,-2.9248,-39.9167,30.57,52,16,6.92,BR,1663072514
393,Mana,5.6592,-53.7767,29.27,67,3,2.79,GF,1663072515
394,Port Hueneme,34.1478,-119.1951,21.81,91,75,2.06,US,1663072516
395,Verkhnevilyuysk,63.4453,120.3167,6.96,97,100,3.3,RU,1663072518
396,Ottawa,45.4112,-75.6981,19.3,97,40,3.09,CA,1663072222
397,Chengde,40.9725,117.9361,19.72,66,0,1.41,CN,1663072521
398,Kamenka,51.3223,42.7678,11.3,87,100,9.2,RU,1663072522
399,Cabrero,-37.0333,-72.4,6.97,68,43,1.05,CL,1663072432
400,Semypolky,50.7167,30.9333,12.74,77,100,4.76,UA,1663072524
401,Järvenpää,60.4737,25.0899,13.16,68,75,5.66,FI,1663072526
402,Lake Havasu City,34.4839,-114.3224,29.14,46,0,4.63,US,1663072527
403,Chaozhou,23.6651,116.6379,29.92,51,23,3.0,CN,1663072528
404,Dakar,14.6937,-17.4441,30.49,74,40,2.06,SN,1663072530
405,Springfield,37.2153,-93.2982,16.77,92,0,2.57,US,1663072531
406,Anchorage,61.2181,-149.9003,10.51,91,100,4.63,US,1663072527
407,High Level,58.5169,-117.136,-0.94,100,0,1.03,CA,1663072533
408,Suba,10.8438,121.0102,29.03,72,100,3.03,PH,1663072535
409,Dukhovnitskoye,52.4828,48.2137,17.11,44,100,3.86,RU,1663072536
410,Gurupi,-11.7292,-49.0686,33.0,16,81,4.95,BR,1663072275
411,Ol'ga,43.7444,135.2892,12.53,77,0,3.33,RU,1663072329
412,Kīhei,20.785,-156.4656,26.02,79,40,5.14,US,1663072468
413,Bahía Solano,6.2262,-77.4044,26.09,82,100,2.09,CO,1663072540
414,Kitob,39.0843,66.8332,27.38,17,0,1.98,UZ,1663072542
415,Padang,-0.9492,100.3543,27.03,82,100,2.33,ID,1663072439
416,Bara,10.3744,10.7288,28.29,68,100,4.37,NG,1663072544
417,Lázaro Cárdenas,17.9583,-102.2,24.33,80,100,2.22,MX,1663072545
418,Tongliao,43.6125,122.2653,14.18,60,0,2.48,CN,1663072401
419,Middle Island,40.8843,-72.9373,23.83,96,100,0.45,US,1663072548
420,Kushima,31.4583,131.2333,26.03,93,65,4.87,JP,1663072549
421,Ostrovnoy,68.0531,39.5131,10.07,73,100,3.69,RU,1663072550
422,Ampanihy,-24.7,44.75,24.96,47,0,8.28,MG,1663072551
423,Tazovsky,67.4667,78.7,4.35,71,98,4.02,RU,1663072553
424,Sinnamary,5.3833,-52.95,29.07,66,5,3.38,GF,1663072554
425,Nelson Bay,-32.7167,152.15,15.0,79,60,4.92,AU,1663072555
426,Vilhena,-12.7406,-60.1458,25.12,83,10,0.0,BR,1663072556
427,Kalamare,-22.9337,26.5703,24.31,32,0,7.66,BW,1663072558
428,Coos Bay,43.3665,-124.2179,14.99,97,100,2.06,US,1663072559
429,Buena Vista,43.4203,-83.8986,12.75,93,0,1.54,US,1663072560
430,Leshukonskoye,64.8989,45.7622,11.77,79,100,3.37,RU,1663072561
431,Khatanga,71.9667,102.5,0.98,67,91,3.38,RU,1663072564
432,Nushki,29.5542,66.0215,32.19,12,0,2.3,PK,1663072565
433,Maumere,-8.6199,122.2111,26.14,77,32,3.28,ID,1663072567
434,Zeya,53.75,127.2667,9.79,78,100,2.79,RU,1663072568
435,Anloga,5.7947,0.8973,26.57,76,92,5.77,GH,1663072569
436,Sopetrán,6.6703,-75.7475,16.28,84,86,0.74,CO,1663072299
437,Cap Malheureux,-19.9842,57.6142,23.59,65,94,1.79,MU,1663072573
438,Millinocket,45.6573,-68.7098,16.06,100,40,0.0,US,1663072574
439,Andros Town,24.7,-77.7667,26.98,66,56,1.78,BS,1663072575
440,Sabang,5.8933,95.3214,28.18,75,91,8.16,ID,1663072577
441,Anakapalle,17.6833,83.0167,28.97,79,100,5.12,IN,1663072578
442,Wawa,9.9022,4.4192,27.51,75,100,2.18,NG,1663072579
443,Kangaba,11.9333,-8.4167,26.63,74,100,0.79,ML,1663072581
444,Kaniama,-7.5667,24.1833,33.56,28,96,1.13,CD,1663072582
445,Narva-Jõesuu,59.4589,28.0408,15.48,63,100,4.68,EE,1663072583
446,Kenai,60.5544,-151.2583,8.41,98,100,3.09,US,1663072586
447,Matara,5.9485,80.5353,25.94,85,19,3.91,LK,1663072587
448,Saskylakh,71.9167,114.0833,1.76,92,100,1.49,RU,1663072588
449,Moa,20.6569,-74.9403,27.48,79,0,1.49,CU,1663072589
450,Lebanon,36.2081,-86.2911,17.76,87,0,0.0,US,1663072591
451,Estelle,29.8458,-90.1067,24.44,74,0,2.06,US,1663072569
452,Temir,49.1414,57.13,20.76,27,67,4.7,KZ,1663072593
453,Nuuk,64.1835,-51.7216,7.34,93,75,2.57,GL,1663072594
454,Richards Bay,-28.783,32.0377,19.66,71,89,2.42,ZA,1663072595
455,Katobu,-4.9408,122.5276,23.96,88,31,1.85,ID,1663072597
456,Husavik,66.0449,-17.3389,8.77,88,96,5.25,IS,1663072598
457,Nevşehir,38.9167,34.6667,23.56,38,75,5.66,TR,1663072599
458,Kieta,-6.2167,155.6333,25.97,83,96,1.95,PG,1663072600
459,Helena,46.5927,-112.0361,14.44,58,0,1.54,US,1663072425
460,St. Pete Beach,27.7253,-82.7412,27.81,82,0,2.06,US,1663072603
461,Dul'durga,50.6761,113.5931,13.23,55,100,2.39,RU,1663072604
462,Verkhoyansk,67.5447,133.385,4.79,77,100,1.69,RU,1663072605
463,Beian,63.6559,9.5683,13.89,94,75,4.12,NO,1663072606
464,Rolla,37.9514,-91.7713,13.34,94,0,1.54,US,1663072575
465,Dérac,19.65,-71.8167,27.21,60,31,1.74,HT,1663072609
466,Dicabisagan,17.0818,122.4157,26.83,84,49,1.54,PH,1663072610
467,Hualmay,-11.0964,-77.6139,15.54,82,87,3.81,PE,1663072612
468,Saint-Augustin,51.226,-58.6502,16.6,61,33,2.0,CA,1663072614
469,Aswān,24.0934,32.907,41.61,10,0,6.17,EG,1663072615
470,Suleja,9.1758,7.1808,23.55,74,100,1.37,NG,1663072616
471,Kazanskaya,45.4106,40.4361,22.64,45,100,5.0,RU,1663072617
472,Mezen',65.8522,44.24,12.76,65,100,2.8,RU,1663072619
473,Sayyan,15.1718,44.3244,23.99,29,100,2.15,YE,1663072620
474,Durban,-29.8579,31.0292,19.51,83,44,1.34,ZA,1663072621
475,Itoman,26.1247,127.6694,28.43,89,75,3.6,JP,1663072623
476,Zasheyek,67.4066,32.5499,10.07,82,100,2.57,RU,1663072624
477,Leer,8.3018,30.1418,28.36,76,98,2.63,SS,1663072625
478,Voh,-20.9667,164.7,20.61,87,100,1.66,NC,1663072627
479,Plouzané,48.3833,-4.6167,26.1,61,0,7.72,FR,1663072629
480,Nichinan,31.6,131.3667,27.82,92,75,5.54,JP,1663072632
481,Qaqortoq,60.7167,-46.0333,9.23,62,10,1.78,GL,1663072634
482,Osa,57.2829,55.4567,13.6,60,100,0.68,RU,1663072635
483,The Valley,18.217,-63.0578,30.46,74,40,5.14,AI,1663072497
484,Wundanyi,-3.4019,38.364,23.41,41,94,7.3,KE,1663072638
485,Kampong Cham,11.9934,105.4635,26.54,84,96,3.39,KH,1663072639
486,Malatya Province,38.5,38.0,28.03,26,75,2.57,TR,1663072641
487,Puerto Baquerizo Moreno,-0.9,-89.6,19.55,87,100,6.32,EC,1663072642
488,Pangoa,-12.1167,-73.0,22.22,93,99,0.34,PE,1663072643
489,Misratah,32.3754,15.0925,29.29,53,0,4.12,LY,1663072645
490,Lydenburg,-25.0978,30.4597,15.34,68,86,3.07,ZA,1663072646
491,Nyurba,63.2842,118.3319,7.43,95,100,4.42,RU,1663072396
492,Palekastro,35.2,26.25,25.47,58,0,10.59,GR,1663072649
493,Alamosa,37.4695,-105.87,4.99,75,0,1.54,US,1663072609
494,Alekseyevka,50.6309,38.6903,13.77,78,100,3.54,RU,1663072651
495,Taoudenni,22.6783,-3.9836,43.71,9,0,1.92,ML,1663072652
496,Tautira,-17.7333,-149.15,24.53,79,100,8.33,PF,1663072653
497,Chitral,35.8462,71.7858,25.45,44,59,3.66,PK,1663072584
498,Batagay,67.6333,134.6333,4.23,78,100,2.87,RU,1663072656
499,Morant Bay,17.8815,-76.4093,28.73,75,49,3.12,JM,1663072657
500,Marsá Maţrūḩ,31.3525,27.2453,29.11,58,40,6.17,EG,1663072658
501,Boddam,57.4667,-1.7833,17.46,66,14,7.98,GB,1663072660
502,Ngunguru,-35.6167,174.5,12.39,87,100,3.08,NZ,1663072661
503,Sri Aman,1.2376,111.4621,25.05,88,100,0.0,MY,1663072662
504,Amahai,-3.3333,128.9167,25.78,88,100,2.97,ID,1663072663
505,Jinzhou,41.1078,121.1417,19.36,68,0,3.97,CN,1663072665
506,Kanasín,20.9333,-89.5667,23.33,94,75,0.0,MX,1663072666
507,Perth,-31.9333,115.8333,15.61,63,40,9.77,AU,1663072537
508,Belyy Yar,53.6039,91.3903,11.03,56,0,3.0,RU,1663072669
509,Burnie,-41.0667,145.9167,3.3,71,4,2.82,AU,1663072379
510,Tingo María,-9.2895,-76.0088,23.44,84,54,0.46,PE,1663072671
511,Dunedin,-45.8742,170.5036,2.67,83,94,3.58,NZ,1663072673
512,Ambon City,-3.6954,128.1814,27.35,13,40,2.06,ID,1663072674
513,Luorong,24.4058,109.6086,25.34,66,96,1.72,CN,1663072676
514,Norsup,-16.0667,167.3833,25.69,80,24,3.74,VU,1663072677
515,Mujiayingzi,42.1167,118.7833,15.3,74,0,0.75,CN,1663072678
516,Māngrol,21.1167,70.1167,25.59,91,100,2.31,IN,1663072679
517,Antipino,57.1068,65.7576,15.16,56,100,2.2,RU,1663072681
518,Batagay-Alyta,67.8006,130.4114,-0.37,93,100,0.11,RU,1663072682
519,Yar-Sale,66.8333,70.8333,6.72,70,96,2.87,RU,1663072396
520,Coahuayana Viejo,18.7333,-103.6833,23.35,92,100,1.47,MX,1663072685
521,Port Hardy,50.6996,-127.4199,12.1,94,100,1.54,CA,1663072686
522,Cidreira,-30.1811,-50.2056,17.4,79,86,5.66,BR,1663072687
523,Redcliffe,-27.2307,153.0973,17.72,72,0,2.57,AU,1663072689
524,Srīvardhan,18.0333,73.0167,26.36,88,100,6.06,IN,1663072690
525,São Félix do Xingu,-6.6447,-51.995,31.99,41,46,1.5,BR,1663072691
526,Saint-François,46.4154,3.9054,29.26,48,0,2.06,FR,1663072692
527,Naze,28.3667,129.4833,27.51,86,41,8.35,JP,1663072694
528,Sonda,59.3436,26.8364,13.72,73,100,4.7,EE,1663072695
529,Fairbanks,64.8378,-147.7164,4.99,95,0,0.0,US,1663072696
530,Aksarka,66.5606,67.7975,7.75,78,96,2.48,RU,1663072698
531,North Bend,43.4065,-124.2243,14.95,97,100,2.06,US,1663072699
532,Aklavik,68.2191,-135.0107,2.74,91,87,2.87,CA,1663072701
533,Ituiutaba,-18.9689,-49.465,32.81,18,10,5.28,BR,1663072702
534,Ust'-Ilimsk,58.0006,102.6619,4.9,95,100,2.74,RU,1663072703
535,Coolum Beach,-26.5333,153.1,17.28,87,44,3.28,AU,1663072706
536,Antalaha,-14.9003,50.2788,23.47,75,98,4.6,MG,1663072707
537,Afrikanda,67.4429,32.7828,10.06,81,100,2.27,RU,1663072708
538,Bella Union,-30.2752,-57.6007,15.58,64,0,3.78,UY,1663072711
539,Iquique,-20.2208,-70.1431,14.02,65,0,3.81,CL,1663072677
540,Tot'ma,59.9747,42.7642,15.0,48,67,2.37,RU,1663072714
541,Pacific Grove,36.6177,-121.9166,15.75,89,75,2.68,US,1663072620
542,Araguaína,-7.1911,-48.2072,35.03,28,4,4.18,BR,1663072716
543,Lata,40.1629,-8.3327,21.71,77,100,5.19,PT,1663072718
544,Anstruther,56.2231,-2.7023,19.36,59,20,3.09,GB,1663072719
545,Örnsköldsvik,63.2909,18.7153,14.53,88,100,8.75,SE,1663072720
546,Belmonte,-15.8631,-38.8828,25.43,61,14,1.72,BR,1663072722
547,Myrtle Grove,30.421,-87.3075,22.13,83,75,3.09,US,1663072723
548,Ternate,0.8,127.4,27.44,76,84,2.2,ID,1663072725
549,Umluj,25.0213,37.2685,32.25,56,6,6.58,SA,1663072726
550,Nicoya,10.1483,-85.452,24.88,90,100,0.52,CR,1663072727
551,San Quintín,30.4833,-115.95,21.41,93,49,1.47,MX,1663072728
552,Jalu,29.0331,21.5482,34.45,23,0,4.99,LY,1663072730
553,Ventspils,57.3894,21.5606,12.96,82,0,4.63,LV,1663072731
554,Mount Isa,-20.7333,139.5,17.87,39,0,0.51,AU,1663072733
555,Nishihara,26.1842,127.7558,28.03,89,75,4.12,JP,1663072734
556,Bichena,10.45,38.2,18.82,62,30,1.96,ET,1663072736
557,Kawalu,-7.3817,108.2082,22.5,97,71,0.94,ID,1663072737
558,Payo,-3.7508,103.6372,22.98,96,100,1.08,ID,1663072739
559,Cerea,45.1921,11.2103,29.96,54,8,0.74,IT,1663072740
560,Mahajanga,-15.7167,46.3167,32.01,31,40,4.12,MG,1663072741
561,Tutóia,-2.7619,-42.2744,29.44,57,7,6.47,BR,1663072743
562,Campoverde,-8.4753,-74.8058,28.87,51,8,0.93,PE,1663072744
563,Söderhamn,61.3037,17.0592,13.31,95,100,6.51,SE,1663072745
564,Teknāf,20.8624,92.3058,26.07,86,100,2.59,BD,1663072747
565,Muncar,-8.4333,114.3333,25.28,85,89,2.64,ID,1663072748
566,Lesnyye Polyany,55.9667,37.8667,14.12,50,100,4.21,RU,1663072749
567,Fortuna,40.5982,-124.1573,11.1,85,1,1.36,US,1663072751
568,Odienné,9.51,-7.5692,23.14,92,100,2.59,CI,1663072752
569,Bongaree,-27.0797,153.1586,17.25,72,60,4.87,AU,1663072754
570,Neyshabur,36.2133,58.7958,28.36,9,0,1.83,IR,1663072756
571,Port Moresby,-9.4431,147.1797,25.68,89,20,1.54,PG,1663072757
572,Mehamn,71.0357,27.8492,7.97,71,20,4.12,NO,1663072758
573,Viedma,-40.8135,-62.9967,10.55,66,33,1.87,AR,1663072760
574,Udachny,66.4167,112.4,0.61,84,91,1.84,RU,1663072761
575,Sehore,23.2,77.0833,24.15,92,100,2.81,IN,1663072763
576,College,64.8569,-147.8028,4.99,95,75,0.0,US,1663072764
577,Mogok,22.9167,96.5,18.76,99,52,1.22,MM,1663072765
578,De Aar,-30.6497,24.0123,21.02,12,0,0.57,ZA,1663072767
579,Paciran,-6.8767,112.3761,27.33,76,27,3.49,ID,1663072768
580,Daru,-9.0763,143.2092,26.14,87,61,6.92,PG,1663072769
581,Cockburn Town,21.4612,-71.1419,28.98,70,40,5.14,TC,1663072772
582,Kathmandu,27.7167,85.3167,23.12,83,75,1.54,NP,1663072471
583,Bambanglipuro,-7.95,110.2833,25.22,82,15,3.93,ID,1663072774
584,Selfoss,63.9331,-20.9971,11.69,65,100,2.31,IS,1663072776
585,Morgan City,29.6994,-91.2068,20.56,92,15,2.94,US,1663072777
586,Mīzan Teferī,6.9833,35.5833,17.36,97,100,0.86,ET,1663072778
587,Dori,14.0354,-0.0345,34.01,40,10,3.71,BF,1663072780
588,Havøysund,70.9963,24.6622,9.13,66,39,3.93,NO,1663072781
589,Archidona,37.0965,-4.3887,23.8,50,100,6.2,ES,1663072782
590,Arvin,35.2091,-118.8284,24.67,62,1,0.45,US,1663072784
